art_hier_key,L1_CD,L1_DESC,L2_CD,L2_DESC,L3_CD,L3_DESC,L4_CD,L4_DESC,L5_CD,L5_DESC,L6_CD,L6_DESC,L7_CD,L7_DESC,LAST_UPDATED_TIMESTAMP,edw_update_date
,C,CBL,CN,NATIONAL BRAND,NB51,BOOKS,NB51C521,NONFICTION BOOKS,NB51C521Z1293,THE YOGA INSTITUTE,NB51C521Z1293E741,FAMILY HOME PRACTICAL INTERESTS,NB51C521Z1293E741P,CORE,14-07-2020 06:07,
,S,SSL,SN,NATIONAL BRAND,NB08,HOME,NB08C005,BATH,NB08C005D0199,ESPRIT,NB08C005D0199E176,TOWEL,NB08C005D0199E176P,CORE,18-11-2020 12:11,
,S,SSL,SN,NATIONAL BRAND,NB01,APPAREL WOMEN WESTERN WEAR,NB01C009,CASUAL,NB01C009D1353,MESMERIZE,NB01C009D1353E132,PANTS,NB01C009D1353E132P,CORE,10-11-2020 04:11,
,S,SSL,SN,NATIONAL BRAND,NB02,APPAREL MEN,NB02C018,DENIM,NB02C018D0190,ED HARDY,NB02C018D0190E166,SWEATER,NB02C018D0190E166R,FASHION,24-10-2020 04:10,
,S,SSL,SN,NATIONAL BRAND,NB17,APPAREL WOMEN INDIAN WEAR,NB17C020,INDIANWEAR,NB17C020D0306,IMARA,NB17C020D0306E152,SET,NB17C020D0306E152R,FASHION,22-12-2020 04:12,
,C,CBL,CN,NATIONAL BRAND,NB51,BOOKS,NB51C512,FICTION BOOKS,NB51C512Z0866,OM BOOKS INTERNATIONAL,NB51C512Z0866E752,HISTORICAL FICTION,NB51C512Z0866E752P,CORE,14-07-2020 06:07,
,S,SSL,SN,NATIONAL BRAND,NB02,APPAREL MEN,NB02C009,CASUAL,NB02C009D1557,ZACK & CO,NB02C009D1557E188,T-SHIRT,NB02C009D1557E188R,FASHION,14-07-2020 06:07,
,S,SSL,SN,NATIONAL BRAND,NB01,APPAREL WOMEN WESTERN WEAR,NB01C031,INNERWEAR,NB01C031D0674,SWEET DREAMS,NB01C031D0674E111,LINGERIE,NB01C031D0674E111P,CORE,14-07-2020 06:07,
,C,CBL,CN,NATIONAL BRAND,NB51,BOOKS,NB51C512,FICTION BOOKS,NB51C512Z0787,METRO READS,NB51C512Z0787E730,CRIME MYSTERY THRILLER,NB51C512Z0787E730P,CORE,14-07-2020 06:07,
,S,SSL,SN,NATIONAL BRAND,NB05,EYEWEAR,NB05C021,EYEWEAR,NB05C021D0465,MONT BLANC,NB05C021D0465E165,SUNGLASSES,NB05C021D0465E165R,FASHION,25-11-2020 04:11,
,S,SSL,SN,NATIONAL BRAND,NB13,WATCHES,NB13C044,WATCHES,NB13C044D0172,DIESEL,NB13C044D0172E127,NON WEARABLES,NB13C044D0172E127R,FASHION,18-12-2020 04:12,
,S,SSL,SN,NATIONAL BRAND,NB17,APPAREL WOMEN INDIAN WEAR,NB17C020,INDIANWEAR,NB17C020D0046,AURELIA,NB17C020D0046E071,ETHNIC BOTTOMWEAR,NB17C020D0046E071R,FASHION,05-01-2021 10:01,
